tau	DRT
1.000000e-02	2.171579e+00
1.079801e-02	1.637932e+00
1.165970e-02	1.242653e-01
1.259016e-02	5.445721e-01
1.359487e-02	-1.127713e+00
1.467975e-02	-1.801038e+00
1.585121e-02	-1.259989e+00
1.711615e-02	-4.789742e-01
1.848204e-02	1.328322e-01
1.995693e-02	5.378750e-01
2.154951e-02	7.912919e-01
2.326918e-02	9.484562e-01
2.512609e-02	1.046607e+00
2.713117e-02	1.108587e+00
2.929627e-02	1.148027e+00
3.163414e-02	1.172966e+00
3.415858e-02	1.188146e+00
3.688447e-02	1.196323e+00
3.982789e-02	1.198970e+00
4.300619e-02	1.196591e+00
4.643813e-02	-3.190367e+00
5.014394e-02	-2.692588e+00
5.414548e-02	2.875808e+00
5.846635e-02	9.328696e-01
6.313202e-02	3.435821e-01
6.817002e-02	2.922054e-01
7.361006e-02	-1.392904e+00
7.948422e-02	-1.756061e+00
8.582714e-02	-1.105828e+00
9.267624e-02	-3.428233e-01
1.000719e-01	2.266970e-01
1.080577e-01	5.969914e-01
1.166809e-01	8.279593e-01
1.259921e-01	9.712367e-01
1.360464e-01	1.060953e+00
1.469030e-01	1.117737e+00
1.586261e-01	1.153847e+00
1.712846e-01	1.176565e+00
1.849533e-01	1.190228e+00
1.997127e-01	1.197243e+00
2.156500e-01	1.371617e+00
2.328591e-01	5.592946e-01
2.514415e-01	-1.936343e+00
2.715068e-01	-3.903399e+00
2.931733e-01	1.121296e+00
3.165689e-01	2.347499e+00
3.418314e-01	-7.397330e-03
3.691099e-01	6.851227e-01
3.985652e-01	-8.102630e-01
4.303711e-01	-1.799554e+00
4.647152e-01	-1.406176e+00
5.017999e-01	-6.213786e-01
5.418441e-01	3.241877e-02
5.850838e-01	4.736015e-01
6.317741e-01	7.514056e-01
6.821903e-01	9.236705e-01
7.366298e-01	1.031054e+00
7.954136e-01	1.098716e+00
8.588885e-01	1.141756e+00
9.274286e-01	1.169055e+00
1.001438e+00	9.495676e-01
1.081354e+00	1.349091e+00
1.167647e+00	1.307898e+00
1.260827e+00	2.245093e-01
1.361442e+00	-2.588333e+00
1.470087e+00	-3.475068e+00
1.587401e+00	2.171970e+00
1.714077e+00	1.630609e+00
1.850862e+00	1.257437e-01
1.998563e+00	5.400284e-01
2.158051e+00	-1.130207e+00
2.330265e+00	-1.800423e+00
2.516223e+00	-1.258540e+00
2.717020e+00	-4.774347e-01
2.933841e+00	1.338721e-01
3.167964e+00	5.384632e-01
3.420771e+00	7.916719e-01
3.693752e+00	9.486294e-01
3.988518e+00	1.046738e+00
4.306805e+00	1.108694e+00
4.650493e+00	4.917626e-02
5.021607e+00	5.237051e-01
5.422336e+00	1.037398e+00
5.855044e+00	1.382936e+00
6.322283e+00	1.195578e+00
6.826808e+00	-1.752657e-01
7.371594e+00	-3.197558e+00
7.959855e+00	-2.681250e+00
8.595059e+00	2.879424e+00
9.280954e+00	9.282462e-01
1.002158e+01	3.479750e-01
1.082132e+01	2.897568e-01
1.168487e+01	-1.395830e+00
1.261733e+01	-1.755759e+00
1.362421e+01	-1.104259e+00
1.471144e+01	-3.415435e-01
1.588542e+01	2.275265e-01
1.715310e+01	5.975331e-01
1.852193e+01	8.282712e-01
2.000000e+01	9.714726e-01
